iteracion,layers,stepSize,maxIter,accuracy,precision,recall,f1_score,roc_auc,train_time_seg,predict_time_seg,modelo_path
1,"[382, 10, 2]",0.1,100,0.8325166399246118,0.5708519793459552,0.0484039389815419,0.0892409214283552,0.6953555807656601,3108.641778945923,12.3244891166687,../checkpoints/pyspark\mlp_model_iter1
2,"[382, 10, 2]",0.1,200,0.8330984048655985,0.5725050177075413,0.0609863507503256,0.1102303632051955,0.6941128596952835,6243.430380821228,11.818713903427124,../checkpoints/pyspark\mlp_model_iter2
3,"[382, 10, 2]",0.01,100,0.8325166399246118,0.5708519793459552,0.0484039389815419,0.0892409214283552,0.6953532413360897,3130.63949418068,10.922685146331789,../checkpoints/pyspark\mlp_model_iter3
4,"[382, 10, 2]",0.01,200,0.8331867272487293,0.5807794815760914,0.05740346831776,0.1044802484171772,0.6938176742126035,7860.756734132767,14.428644895553589,../checkpoints/pyspark\mlp_model_iter4
5,"[382, 50, 2]",0.1,100,0.8323837852474654,0.5658746190981614,0.0482412133639325,0.0889033527362558,0.7188223831313952,7623.621924638748,25.485912561416622,../checkpoints/pyspark\mlp_model_iter5
6,"[382, 50, 2]",0.1,200,0.8328584252811813,0.5773647153490243,0.0523582444605791,0.0960098482618353,0.7251960963996075,13899.288702964785,21.611717224121094,../checkpoints/pyspark\mlp_model_iter6
7,"[382, 50, 2]",0.01,100,0.8323831667433818,0.5657929619019113,0.0482784286397087,0.0889655357887235,0.7188247095366563,5368.204479694367,19.54208540916443,../checkpoints/pyspark\mlp_model_iter7
8,"[382, 50, 2]",0.01,200,0.8328575593754642,0.5810166062547416,0.0502960803558072,0.0925780790914921,0.7243660315875741,10866.933153867722,19.83013415336609,../checkpoints/pyspark\mlp_model_iter8
9,"[382, 100, 2]",0.1,100,0.8324033299765055,0.5750250887756677,0.0434842254661943,0.0808541440954331,0.7181447430461617,7702.225970745087,38.7890899181366,../checkpoints/pyspark\mlp_model_iter9
10,"[382, 100, 2]",0.1,200,0.832671760748766,0.5768177010178779,0.0485469623943286,0.0895565383784409,0.7237314588145377,16372.514314889908,38.11391282081604,../checkpoints/pyspark\mlp_model_iter10
11,"[382, 100, 2]",0.01,100,0.8324033299765055,0.5750250887756677,0.0434842254661943,0.0808541440954331,0.718144974561777,8488.350915431976,34.37617230415344,../checkpoints/pyspark\mlp_model_iter11
12,"[382, 100, 2]",0.01,200,0.8326595143679117,0.5771787976208205,0.0480799471689026,0.0887655753009978,0.7237514292623999,13918.026891469955,24.016714096069336,../checkpoints/pyspark\mlp_model_iter12
