iteracion,hidden_layer_sizes,alpha,max_iter,accuracy,precision,recall,f1_score,roc_auc,train_time_seg,predict_time_seg,modelo_path
1,"(50,)",0.0001,50,0.8332799647767527,0.564275733581742,0.0715297868571765,0.126964996856005,0.7332041544008868,54.81806635856629,0.3253872394561767,../checkpoints/mlp_gridsearch\mlp_iter1.pkl
2,"(50,)",0.0001,100,0.8334400704464947,0.5674364896073903,0.07253350652417784,0.12862527484033087,0.7331370561435395,94.82707595825195,0.3092629909515381,../checkpoints/mlp_gridsearch\mlp_iter2.pkl
3,"(100,)",0.0001,50,0.8336952388576461,0.5740611149988337,0.07265159119088387,0.12897984853646394,0.7339715920698071,89.1128044128418,0.4112248420715332,../checkpoints/mlp_gridsearch\mlp_iter3.pkl
4,"(100,)",0.0001,100,0.8336952388576461,0.5740611149988337,0.07265159119088387,0.12897984853646394,0.7339715920698071,86.55576491355896,0.39086461067199707,../checkpoints/mlp_gridsearch\mlp_iter4.pkl
5,"(100, 50)",0.0001,50,0.8336802289511077,0.5827225130890052,0.0657141170219047,0.11810898286199395,0.7346225463864344,106.77076530456543,0.4557499885559082,../checkpoints/mlp_gridsearch\mlp_iter5.pkl
6,"(100, 50)",0.0001,100,0.8336802289511077,0.5827225130890052,0.0657141170219047,0.11810898286199395,0.7346225463864344,105.49666380882263,0.4596726894378662,../checkpoints/mlp_gridsearch\mlp_iter6.pkl
7,"(50,)",0.001,50,0.8336051794184162,0.5787994891443168,0.06689496368896498,0.11992907989097357,0.7337078498593008,104.04973220825195,0.30033063888549805,../checkpoints/mlp_gridsearch\mlp_iter7.pkl
8,"(50,)",0.001,100,0.8336051794184162,0.5787994891443168,0.06689496368896498,0.11992907989097357,0.7337078498593008,104.33017134666443,0.31212329864501953,../checkpoints/mlp_gridsearch\mlp_iter8.pkl
9,"(100,)",0.001,50,0.8337352652750816,0.579598910621441,0.06910905118970302,0.12349326088676707,0.7339572945942799,71.72986221313477,0.4061598777770996,../checkpoints/mlp_gridsearch\mlp_iter9.pkl
10,"(100,)",0.001,100,0.8337352652750816,0.579598910621441,0.06910905118970302,0.12349326088676707,0.7339572945942799,72.227219581604,0.3879096508026123,../checkpoints/mlp_gridsearch\mlp_iter10.pkl
11,"(100, 50)",0.001,50,0.833820321412132,0.5899672846237731,0.06388380468796127,0.11528421501251931,0.733840979483151,70.6388669013977,0.4485936164855957,../checkpoints/mlp_gridsearch\mlp_iter11.pkl
12,"(100, 50)",0.001,100,0.833820321412132,0.5899672846237731,0.06388380468796127,0.11528421501251931,0.733840979483151,72.5374128818512,0.45366382598876953,../checkpoints/mlp_gridsearch\mlp_iter12.pkl
13,"(50,)",0.01,50,0.8334200572377769,0.61128165771297,0.04702721851567574,0.08733552631578947,0.7323392035489931,49.46745204925537,0.31591176986694336,../checkpoints/mlp_gridsearch\mlp_iter13.pkl
14,"(50,)",0.01,100,0.8334200572377769,0.61128165771297,0.04702721851567574,0.08733552631578947,0.7323392035489931,49.14670777320862,0.31417012214660645,../checkpoints/mlp_gridsearch\mlp_iter14.pkl
15,"(100,)",0.01,50,0.8332249284527788,0.5618851521390986,0.07250398535750133,0.12843508955419008,0.7327813848094344,82.99603652954102,0.38292908668518066,../checkpoints/mlp_gridsearch\mlp_iter15.pkl
16,"(100,)",0.01,100,0.8332249284527788,0.5618851521390986,0.07250398535750133,0.12843508955419008,0.7327813848094344,87.55191969871521,0.39615893363952637,../checkpoints/mlp_gridsearch\mlp_iter16.pkl
17,"(100, 50)",0.01,50,0.83366021574239,0.592190252495596,0.05954419318651473,0.10820815450643777,0.7318536979659187,101.01847720146179,0.4546799659729004,../checkpoints/mlp_gridsearch\mlp_iter17.pkl
18,"(100, 50)",0.01,100,0.83366021574239,0.592190252495596,0.05954419318651473,0.10820815450643777,0.7318536979659187,101.18726706504822,0.4364199638366699,../checkpoints/mlp_gridsearch\mlp_iter18.pkl
